"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2008","896.24","886.89","896.25","881.21","0","0.96"
"Nov 26, 2008","887.68","852.90","887.68","841.37","0","3.53"
"Nov 25, 2008","857.39","853.40","868.94","834.99","0","0.66"
"Nov 24, 2008","851.81","801.20","865.60","801.20","0","6.47"
"Nov 21, 2008","800.03","755.84","801.20","741.02","0","6.32"
"Nov 20, 2008","752.44","805.87","820.52","747.78","0","-6.71"
"Nov 19, 2008","806.58","859.03","864.57","806.18","0","-6.12"
"Nov 18, 2008","859.12","852.34","865.90","826.84","0","0.98"
"Nov 17, 2008","850.75","873.23","882.29","848.98","0","-2.58"
"Nov 14, 2008","873.29","904.36","916.88","869.88","0","-4.17"
"Nov 13, 2008","911.29","853.13","913.01","818.69","0","6.92"
"Nov 12, 2008","852.30","893.39","893.39","850.48","0","-5.19"
"Nov 11, 2008","898.95","917.15","917.15","884.90","0","-2.20"
"Nov 10, 2008","919.21","936.75","951.95","907.47","0","-1.27"
"Nov 07, 2008","930.99","907.44","931.46","906.90","0","2.89"
"Nov 06, 2008","904.88","952.40","952.40","899.73","0","-5.03"
"Nov 05, 2008","952.77","1,001.84","1,001.84","949.86","0","-5.27"
"Nov 04, 2008","1,005.75","971.31","1,007.51","971.31","0","4.08"
"Nov 03, 2008","966.30","968.67","975.57","958.82","0","-0.25"
"Oct 31, 2008","968.75","953.11","984.38","944.59","0","1.54"
"Oct 30, 2008","954.09","939.38","963.23","928.50","0","2.58"
"Oct 29, 2008","930.09","939.51","969.97","922.26","0","-1.11"
"Oct 28, 2008","940.51","848.92","940.51","845.27","0","10.79"
"Oct 27, 2008","848.92","874.28","893.78","846.75","0","-3.18"
"Oct 24, 2008","876.77","895.22","896.30","852.85","0","-3.45"
"Oct 23, 2008","908.11","899.08","922.83","858.44","0","1.26"
"Oct 22, 2008","896.78","951.67","951.67","875.81","0","-6.10"
"Oct 21, 2008","955.05","980.40","985.44","952.47","0","-3.08"
"Oct 20, 2008","985.40","943.51","985.40","943.51","0","4.77"
"Oct 17, 2008","940.55","942.29","984.64","918.74","0","-0.62"
"Oct 16, 2008","946.43","909.53","947.71","865.83","0","4.25"
"Oct 15, 2008","907.84","994.60","994.60","903.99","0","-9.03"
"Oct 14, 2008","998.01","1,009.97","1,044.31","972.07","0","-0.53"
"Oct 13, 2008","1,003.35","912.75","1,006.93","912.75","0","11.58"
"Oct 10, 2008","899.22","902.31","936.36","839.80","0","-1.18"
"Oct 09, 2008","909.92","988.42","1,005.25","909.19","0","-7.62"
"Oct 08, 2008","984.94","988.91","1,021.06","970.97","0","-1.13"
"Oct 07, 2008","996.23","1,057.60","1,072.91","996.23","0","-5.74"
"Oct 06, 2008","1,056.89","1,097.56","1,097.56","1,007.97","0","-3.85"
"Oct 03, 2008","1,099.23","1,115.16","1,153.82","1,098.14","0","-1.35"
"Oct 02, 2008","1,114.28","1,160.64","1,160.64","1,111.43","0","-4.03"
"Oct 01, 2008","1,161.06","1,164.17","1,167.03","1,140.77","0","-0.45"
"Sep 30, 2008","1,166.36","1,113.78","1,168.03","1,113.78","0","5.42"
"Sep 29, 2008","1,106.42","1,209.07","1,209.07","1,106.42","0","-8.81"
"Sep 26, 2008","1,213.27","1,204.47","1,215.77","1,187.54","0","0.34"
"Sep 25, 2008","1,209.18","1,187.87","1,220.03","1,187.87","0","1.97"
"Sep 24, 2008","1,185.87","1,188.79","1,197.41","1,179.79","0","-0.20"
